     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
 Dxgkernel,  6021,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquirePath
 Dxgkernel,  6022,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleasePath
 Dxgkernel,  6023,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAddPath
 Dxgkernel,  6024,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceRemovePath
 Dxgkernel,  6025,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceRemoveAllPaths
 Dxgkernel,  6026,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfacePinScaling
 Dxgkernel,  6027,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceUnpinScaling
 Dxgkernel,  6028,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfacePinRotation
 Dxgkernel,  6029,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceUnpinRotation
 Dxgkernel,  6030,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceRecommendVidPnTopology
 Dxgkernel,  6031,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceFindFirstAvailableTarget
 Dxgkernel,  6032,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceRestoreFromLkgForSource
 Dxgkernel,  6033,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetTopology
 Dxgkernel,  6034,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceAcquireSourceModeSet
 Dxgkernel,  6035,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseSourceModeSet
